uniqPitchId,game,reason,detail,atbatDesc
120466224-47-3,cs-geo04202606170,TYPE_MISMATCH,pitchResult=P atbatDesc=F,8/F
120466224-49-6,cs-geo04202606170,TYPE_MISMATCH,pitchResult=F atbatDesc=L,9/L
120466224-60-7,cs-geo04202606170,TYPE_MISMATCH,pitchResult=P atbatDesc=F,7/F
205363478-14-2,cs-nor02202606200,TYPE_MISMATCH,pitchResult=F atbatDesc=P,9/PF
205363478-22-1,cs-nor02202606200,TYPE_MISMATCH,pitchResult=F atbatDesc=L,9/L
205363478-38-5,cs-nor02202606200,TYPE_MISMATCH,pitchResult=F atbatDesc=P,6/P
205363478-51-1,cs-nor02202606200,PARTIAL_TRACKING,xOut fallback LEAGUE_BB,13/G/B/SH.2-3
205363478-66-5,cs-nor02202606200,TYPE_MISMATCH,pitchResult=F atbatDesc=L,8/L
205363478-68-3,cs-nor02202606200,PARTIAL_TRACKING,xOut fallback LEAGUE_BB,34/G/SH.1-2
205363478-69-3,cs-nor02202606200,TYPE_MISMATCH,pitchResult=F atbatDesc=L,3/L
205363478-78-4,cs-nor02202606200,TYPE_MISMATCH,pitchResult=F atbatDesc=L,7/L
412756073-16-1,cs-wes04202606170,TYPE_MISMATCH,pitchResult=P atbatDesc=F,9/F
412756073-64-3,cs-wes04202606170,TYPE_MISMATCH,pitchResult=L atbatDesc=G,43/G
