venue_id,likely_home_team,fair_bip,tracked_bip,coverage_pct
760368434,GRAM,611,0,0.0
790680789,BU,118,0,0.0
785173872,JAC,1367,0,0.0
757233204,SOU,997,0,0.0
775747369,AMCC,1301,0,0.0
731501584,NCAT,557,0,0.0
735189632,NJIT,1217,0,0.0
771501935,SJSU,1327,0,0.0
747998938,ME,657,0,0.0
794592751,MAN,852,0,0.0
781074587,BGSU,855,0,0.0
729625837,CAN,776,0,0.0
718007561,MILW,847,0,0.0
724643177,SIE,585,0,0.0
733972087,GTWN,1741,0,0.0
777554882,LA S,1311,0,0.0
738014694,DSU,767,0,0.0
704941958,UNCA,1518,0,0.0
710617907,MCYH,1269,0,0.0
725003825,MASS,830,0,0.0
718015384,AAMU,999,0,0.0
795448424,RID,907,0,0.0
718627986,SBON,753,0,0.0
718146481,NORF,1685,0,0.0
776503195,CCSU,435,0,0.0
713793647,MRMK,599,0,0.0
795421084,FDU,1058,0,0.0
776933125,BU,850,0,0.0
722399347,CCSU,705,0,0.0
788234987,WIU,1059,0,0.0
707581845,ALCN,796,0,0.0
722459502,TXSO,674,0,0.0
787392909,WSU,1086,0,0.0
771403319,PV,108,0,0.0
709341135,WMU,948,0,0.0
764928148,HAW,1347,0,0.0
765174112,UMES,1059,0,0.0
722716473,GRAM,95,0,0.0
767183368,MVSU,213,0,0.0
765478427,DART,748,0,0.0
715273517,IONA,897,0,0.0
748224440,UOST,896,0,0.0
749531218,LMC,930,0,0.0
793909819,COPP,1191,0,0.0
761948921,UNCO,817,0,0.0
785436189,COOK,171,0,0.0
776167862,MVSU,119,0,0.0
798864268,PV,56,0,0.0
727061676,PORT,1252,0,0.0
719486791,UCF,56,0,0.0
792447071,NE,43,0,0.0
725170932,HC,721,0,0.0
797247939,SDST,614,0,0.0
797405559,SPC,51,0,0.0
713507805,APP,37,0,0.0
758532665,NKU,1238,0,0.0
752382525,UONH,1050,0,0.0
710571329,FAIR,1178,0,0.0
731411377,UCRV,383,0,0.0
716379637,ALCN,100,0,0.0
745874940,SHSU,1297,0,0.0
735450076,SPC,832,0,0.0
722322217,NCAT,849,0,0.0
784717263,WAG,720,0,0.0
783747021,MVSU,316,0,0.0
781740503,UTM,1696,0,0.0
765734157,UCRV,1192,0,0.0
792850248,WEBB,1682,0,0.0
779659691,MOSU,52,0,0.0
773784228,SEA,55,0,0.0
785764851,ARPB,1354,0,0.0
783771300,TAR,281,0,0.0
762080235,COOK,1164,0,0.0
705138242,TOWS,91,0,0.0
759075047,FAMU,1370,0,0.0
777137498,MINN,870,0,0.0
713660240,CLEM,51,0,0.0
741442167,INST,154,0,0.0
