# Document parsed from: Copy_of_Rate_7_2.numbers

## Page 1

|playerFullName|player|playerFirstName|pos|newestTeamName|newestTeamLocation|batsHand|throwsHand|Age|AB|BA|OBP|SLG|OPS|ISO|
|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|
|Blake Barthol|Barthol|Blake|2B|Coastal Carolina University|Coastal Carolina|L|R|22|252|0.274|0.387|0.468|0.855|0.194|
|Daniel Dickinson|Dickinson|Daniel|2B|Louisiana State University|Louisiana State|R|R|22|238|0.315|0.458|0.525|0.984|0.21|
|Jared Jones|Jones|Jared|1B|Louisiana State University|Louisiana State|R|R|22|279|0.323|0.414|0.613|1.027|0.29|
|Steven Milam|Milam|Steven|SS|Louisiana State University|Louisiana State|S|R|21|241|0.295|0.398|0.506|0.904|0.212|
|Derek Curiel|Curiel|Derek|LF|Louisiana State University|Louisiana State|L|L|20|258|0.345|0.47|0.519|0.99|0.174|
|Chris Stanfield|Stanfield|Chris|CF|Louisiana State University|Louisiana State|R|R|22|208|0.298|0.414|0.404|0.818|0.106|
|Caden Bodine|Bodine|Caden|C|Coastal Carolina University|Coastal Carolina|S|R|22|245|0.318|0.454|0.461|0.915|0.143|
|Zion Rose|Rose|Zion|LF|University of Louisville|Louisville|R|R|20|252|0.31|0.396|0.552|0.948|0.242|
|Lucas Moore|Moore|Lucas|CF|University of Louisville|Louisville|L|R|20|271|0.339|0.43|0.454|0.884|0.114|
|Mulivai Levu|Levu|Mulivai|1B|UCLA|UCLA|L|R|21|272|0.32|0.389|0.522|0.911|0.202|
|Roch Cholowsky|Cholowsky|Roch|SS|UCLA|UCLA|R|R|20|252|0.353|0.48|0.71|1.19|0.357|
|Dean West|West|Dean|LF|UCLA|UCLA|L|R|21|247|0.32|0.47|0.425|0.895|0.105|
|Jake Munroe|Munroe|Jake|3B|University of Louisville|Louisville|R|R|22|243|0.346|0.451|0.593|1.044|0.247|
|Aaron Walton|Walton|Aaron|CF|University of Arizona|Arizona|R|R|21|253|0.32|0.437|0.589|1.026|0.269|
|Mason White|White|Mason|SS|University of Arizona|Arizona|L|R|22|257|0.327|0.412|0.689|1.101|0.362|
|Wehiwa Aloy|Aloy|Wehiwa|SS|University of Arkansas|Arkansas|R|R|22|266|0.35|0.434|0.673|1.107|0.323|
|Andrew Fischer|Fischer|Andrew|1B|University of Tennessee|Tennessee|L|R|21|217|0.341|0.497|0.76|1.257|0.419|
|Dean Curley|Curley|Dean|SS|University of Tennessee|Tennessee|R|R|21|241|0.315|0.435|0.531|0.966|0.216|
|Walker Mitchell|Mitchell|Walker|3B|Coastal Carolina University|Coastal Carolina|R|R|21|204|0.27|0.443|0.373|0.816|0.103|
|Charles Davalan|Davalan|Charles|LF|University of Arkansas|Arkansas|L|R|22|269|0.346|0.433|0.561|0.994|0.216|
|Gavin Turley|Turley|Gavin|LF|Oregon State University|Oregon State|R|R|22|245|0.351|0.472|0.649|1.121|0.298|
|Roman Martin|Martin|Roman|3B|UCLA|UCLA|R|R|21|237|0.316|0.45|0.502|0.952|0.186|
|Aiva Arquette|Arquette|Aiva|SS|Oregon State University|Oregon State|R|R|22|254|0.354|0.461|0.654|1.115|0.299|
|Brent Iredale|Iredale|Brent|3B|University of Arkansas|Arkansas|R|R|22|206|0.286|0.45|0.544|0.994|0.257|
|Judd Utermark|Utermark|Judd|3B|University of Mississippi|Ole Miss|R|R|22|252|0.294|0.376|0.599|0.976|0.306|
|Reese Chapman|Chapman|Reese|RF|University of Tennessee|Tennessee|L|R|22|216|0.273|0.344|0.523|0.867|0.25|
|Hunter Ensley|Ensley|Hunter|CF|University of Tennessee|Tennessee|R|R|24|241|0.336|0.418|0.531|0.95|0.195|
|Easton Talt|Talt|Easton|RF|Oregon State University|Oregon State|L|R|22|211|0.261|0.433|0.46|0.893|0.199|
|Jake Brown|Brown|Jake|RF|Louisiana State University|Louisiana State|L|L|21|178|0.32|0.407|0.528|0.935|0.208|
|Mitchell Sanford|Sanford|Mitchell|RF|University of Mississippi|Ole Miss|L|R|25|249|0.317|0.423|0.606|1.029|0.289|
|Trent Caraway|Caraway|Trent|3B|Oregon State University|Oregon State|R|R|21|251|0.267|0.35|0.47|0.82|0.203|
|AJ Salgado|Salgado|AJ|RF|UCLA|UCLA|L|R|24|234|0.312|0.418|0.581|1|0.269|
|Colby Thorndyke|Thorndyke|Colby|1B|Coastal Carolina University|Coastal Carolina|L|R|21|211|0.303|0.395|0.445|0.841|0.142|
|Tague Davis|Davis|Tague|TWP|University of Louisville|Louisville|L|L|20|219|0.283|0.39|0.571|0.961|0.288|
|AJ Singer|Singer|AJ|2B|Oregon State University|Oregon State|R|R|21|234|0.312|0.409|0.393|0.802|0.081|
|Josh Paino|Paino|Josh|3B|Clemson University|Clemson|R|R|25|237|0.249|0.354|0.426|0.78|0.177|
|Garen Caulfield|Caulfield|Garen|2B|University of Arizona|Arizona|R|R|25|244|0.262|0.349|0.434|0.783|0.172|
|Maddox Mihalakis|Mihalakis|Maddox|3B|University of Arizona|Arizona|L|R|22|240|0.279|0.354|0.421|0.775|0.142|
|Luke Hill|Hill|Luke|3B|University of Mississippi|Ole Miss|R|R|21|244|0.336|0.459|0.488|0.947|0.152|
|Isaac Humphrey|Humphrey|Isaac|CF|University of Mississippi|Ole Miss|L|L|24|234|0.286|0.396|0.56|0.956|0.274|
|Wells Sykes|Sykes|Wells|RF|Coastal Carolina University|Coastal Carolina|R|R|23|189|0.291|0.377|0.397|0.774|0.106|
|Nick Monistere|Monistere|Nick|2B|The University of Southern Mississippi|Southern Miss|R|R|22|257|0.323|0.41|0.623|1.033|0.3|
|Carson Paetow|Paetow|Carson|RF|The University of Southern Mississippi|Southern Miss|L|L|23|239|0.268|0.378|0.561|0.938|0.293|
|Matthew Russo|Russo|Matthew|1B|The University of Southern Mississippi|Southern Miss|L|R|23|245|0.29|0.407|0.563|0.97|0.273|
|Wilson Weber|Weber|Wilson|C|Oregon State University|Oregon State|R|R|23|230|0.326|0.407|0.565|0.972|0.239|
|Jordan Taylor|Taylor|Jordan|LF|Stetson University|Stetson|R|R|23|241|0.32|0.357|0.502|0.859|0.183|
|Tommy Splaine|Splaine|Tommy|1B|University of Arizona|Arizona|R|R|22|215|0.298|0.39|0.447|0.836|0.149|
|Adonys Guzman|Guzman|Adonys|C|University of Arizona|Arizona|R|R|22|232|0.328|0.411|0.496|0.907|0.168|
|Dalton Bargo|Bargo|Dalton|LF|University of Tennessee|Tennessee|L|R|22|202|0.277|0.37|0.564|0.935|0.287|
|Alejandro Garza|Garza|Alejandro|3B|Cal Poly|Cal Poly|R|R|20|262|0.351|0.408|0.481|0.889|0.13|
|Casey Murray Jr.|Murray Jr.|Casey|CF|Cal Poly|Cal Poly|R|R|22|248|0.31|0.361|0.48|0.841|0.169|
|Dixon Williams|Williams|Dixon|2B|East Carolina University|East Carolina|L|R|22|221|0.299|0.451|0.561|1.012|0.262|
|Tyler Albright|Albright|Tyler|LF|Duke University|Duke|R|L|22|225|0.298|0.435|0.502|0.937|0.204|
|Jake Ogden|Ogden|Jake|SS|University of Miami|Miami|R|R|22|253|0.332|0.399|0.494|0.893|0.162|
|Dylan Carey|Carey|Dylan|SS|University of Nebraska|Nebraska|R|R|22|222|0.288|0.377|0.486|0.864|0.198|
|Dorian Gonzalez Jr.|Gonzalez Jr.|Dorian|2B|University of Miami|Miami|L|R|23|230|0.257|0.338|0.457|0.795|0.2|
|Colby Wallace|Wallace|Colby|TWP|East Carolina University|East Carolina|R|R|20|243|0.267|0.339|0.432|0.772|0.165|
|Walker Barron|Barron|Walker|C|East Carolina University|East Carolina|R|R|21|208|0.25|0.335|0.313|0.647|0.063|
|Landon Russell|Russell|Landon|CF|Stetson University|Stetson|R|R|22|221|0.226|0.317|0.321|0.639|0.095|
|Ozzie Pratt|Pratt|Ozzie|SS|The University of Southern Mississippi|Southern Miss|R|R|23|224|0.308|0.402|0.464|0.866|0.156|
|Jake Berger|Berger|Jake|2B|Duke University|Duke|L|R|24|206|0.243|0.404|0.432|0.836|0.189|
|Mason Lytle|Lytle|Mason|CF|UTSA|UTSA|R|R|24|268|0.366|0.424|0.56|0.984|0.194|
|Cody Kashimoto|Kashimoto|Cody|2B|Saint Mary's College (CA)|Saint Mary's|S|R|22|203|0.281|0.419|0.365|0.784|0.084|
|Jack Collins|Collins|Jack|C|Cal Poly|Cal Poly|R|R|22|234|0.278|0.38|0.521|0.901|0.244|
|Eddie Madrigal|Madrigal|Eddie|1B|Saint Mary's College (CA)|Saint Mary's|L|R|22|242|0.368|0.462|0.698|1.16|0.331|
|Justin Thomas|Thomas|Justin|CF|University of Arkansas|Arkansas|R|R|22|165|0.303|0.438|0.515|0.953|0.212|
|Austin Irby|Irby|Austin|1B|East Carolina University|East Carolina|L|R|19|208|0.303|0.424|0.524|0.948|0.221|
|Ryder Helfrick|Helfrick|Ryder|C|University of Arkansas|Arkansas|R|R|20|190|0.305|0.42|0.616|1.036|0.311|
|Jonathan Hogart|Hogart|Jonathan|CF|Murray State University|Murray State|R|R|23|260|0.338|0.446|0.7|1.146|0.362|
|Dan Tauken|Tauken|Dan|LF|Murray State University|Murray State|L|L|24|231|0.255|0.348|0.455|0.803|0.199|
|Carson Garner|Garner|Carson|3B|Murray State University|Murray State|R|R|22|225|0.276|0.429|0.573|1.002|0.298|
|Ethan Frey|Frey|Ethan|RF|Louisiana State University|Louisiana State|R|R|21|181|0.331|0.42|0.641|1.061|0.309|
|Cooper McMurray|McMurray|Cooper|1B|Auburn University|Auburn|L|L|24|233|0.326|0.431|0.588|1.019|0.262|
|Garret Pike|Pike|Garret|RF|University of Louisville|Louisville|L|R|23|209|0.297|0.343|0.455|0.798|0.158|
|Luke Walton|Walton|Luke|LF|University of Toledo|Toledo|L|L|22|216|0.236|0.361|0.412|0.773|0.176|
|Alex Alicea|Alicea|Alex|SS|University of Louisville|Louisville|S|R|21|202|0.307|0.444|0.401|0.845|0.094|
|Kuhio Aloy|Aloy|Kuhio|INF/OF|University of Arkansas|Arkansas|R|R|20|243|0.317|0.404|0.539|0.943|0.222|
|Luke Mistone|Mistone|Luke|1B|Murray State University|Murray State|R|R|22|248|0.335|0.399|0.476|0.875|0.141|
|Ben Miller|Miller|Ben|3B|Duke University|Duke|R|R|25|245|0.314|0.413|0.624|1.037|0.31|
|Cam Cannarella|Cannarella|Cam|CF|Clemson University|Clemson|L|R|22|232|0.353|0.479|0.53|1.01|0.177|
|Cooper Blauser|Blauser|Cooper|2B|Jacksonville State University|Jacksonville State|R|R|22|217|0.3|0.433|0.484|0.917|0.184|
|Vance Sheahan|Sheahan|Vance|SS|University of South Carolina Upstate|South Carolina Upstate|R|R|22|268|0.325|0.395|0.519|0.914|0.194|
|Kane Kepley|Kepley|Kane|CF|University of North Carolina|North Carolina|L|L|21|234|0.291|0.451|0.444|0.896|0.154|
|Cayden Brumbaugh|Brumbaugh|Cayden|2B|University of Nebraska|Nebraska|R|R|22|246|0.309|0.388|0.451|0.839|0.142|
|Daniel Cuvet|Cuvet|Daniel|3B|University of Miami|Miami|R|R|20|226|0.372|0.45|0.708|1.158|0.336|
|Luke Stevenson|Stevenson|Luke|C|University of North Carolina|North Carolina|L|R|21|223|0.251|0.414|0.552|0.965|0.3|
|Gavin Gallaher|Gallaher|Gavin|3B|University of North Carolina|North Carolina|R|R|21|237|0.325|0.409|0.603|1.013|0.278|
|Alex Madera|Madera|Alex|SS|University of North Carolina|North Carolina|L|R|25|226|0.332|0.432|0.403|0.834|0.071|
|Jackson Van De Brake|Van De Brake|Jackson|2B|University of North Carolina|North Carolina|R|R|23|232|0.31|0.415|0.509|0.924|0.198|
|James Quinn-Irons|Quinn-Irons|James|CF|George Mason University|George Mason|R|R|0|242|0.413|0.52|0.723|1.243|0.31|
|Jake Butler|Butler|Jake|3B|George Mason University|George Mason|R|R|21|229|0.306|0.411|0.402|0.813|0.096|
|Dom Listi|Listi|Dom|LF|Clemson University|Clemson|L|L|0|204|0.309|0.507|0.466|0.973|0.157|
|Caleb Johnson|Johnson|Caleb|SS|Jacksonville State University|Jacksonville State|S|R|22|228|0.254|0.351|0.377|0.728|0.123|
|Marek Houston|Houston|Marek|SS|Wake Forest University|Wake Forest|R|R|21|243|0.354|0.458|0.597|1.055|0.243|
|Hunter Stokely|Stokely|Hunter|1B|University of North Carolina|North Carolina|L|R|24|238|0.324|0.41|0.555|0.965|0.231|
|Aiden Taurek|Taurek|Aiden|LF|Saint Mary's College (CA)|Saint Mary's|R|R|22|235|0.328|0.41|0.57|0.98|0.243|
|Ryan Pierce|Pierce|Ryan|3B|Saint Mary's College (CA)|Saint Mary's|R|R|24|244|0.295|0.353|0.5|0.853|0.205|
|Tanner Griffith|Griffith|Tanner|CF|Saint Mary's College (CA)|Saint Mary's|L|R|0|187|0.246|0.411|0.326|0.737|0.08|
|Bobby Boser|Boser|Bobby|3B|University of Florida|Florida|R|R|23|238|0.336|0.437|0.613|1.05|0.277|
|Landon Frei|Frei|Landon|2B|Utah Valley University|Utah Valley|R|R|23|246|0.285|0.391|0.545|0.936|0.26|
|Owen Hull|Hull|Owen|RF|George Mason University|George Mason|L|R|0|237|0.367|0.474|0.557|1.031|0.19|
|Diego Castellanos|Castellanos|Diego|RF|Saint Mary's College (CA)|Saint Mary's|L|L|21|209|0.311|0.414|0.488|0.902|0.177|
|Troy Sudbrook|Sudbrook|Troy|3B|University of Toledo|Toledo|L|R|0|244|0.279|0.355|0.443|0.797|0.164|
|Cooper Chaplain|Chaplain|Cooper|2B|Little Rock|Little Rock|L|R|0|225|0.311|0.424|0.44|0.864|0.129|
|Ryan Geck|Geck|Ryan|1B|Little Rock|Little Rock|R|R|22|248|0.294|0.355|0.435|0.791|0.141|
|Braden Burress|Burress|Braden|LF|East Carolina University|East Carolina|R|R|20|211|0.389|0.488|0.498|0.986|0.109|
|Owen Clyne|Clyne|Owen|SS|George Mason University|George Mason|L|R|21|246|0.341|0.429|0.447|0.876|0.106|
|Lucas Alberti|Alberti|Lucas|LF|George Mason University|George Mason|R|R|0|234|0.333|0.455|0.462|0.916|0.128|
|Hunter Warren|Warren|Hunter|2B|Wright State University|Wright State|R|R|0|250|0.328|0.423|0.408|0.831|0.08|
|Tyson Bass|Bass|Tyson|RF|University of North Carolina|North Carolina|R|R|23|233|0.292|0.393|0.485|0.878|0.193|
|Dom Longo|Longo|Dom|3B|Utah Valley University|Utah Valley|R|R|0|243|0.305|0.397|0.535|0.932|0.23|
|Dante Vachini|Vachini|Dante|LF|Cal Poly|Cal Poly|L|R|0|223|0.314|0.389|0.439|0.828|0.126|
|Nate Castellon|Castellon|Nate|SS|Cal Poly|Cal Poly|R|R|20|226|0.354|0.411|0.473|0.885|0.119|
|Luke Iverson|Iverson|Luke|RF|Utah Valley University|Utah Valley|S|R|21|237|0.283|0.442|0.544|0.986|0.262|
|Murf Gray|Gray|Murf|3B|Fresno State|Fresno State|R|R|22|241|0.324|0.398|0.639|1.037|0.315|
