Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,P,PA,AB,BA,OBP,SLG,OPS,ISO,K%,BB%,K/BB,HR%,R/G,AB/HR,BABIP,OutRate,WOBA,SB%
1,1794012731,K. Rhein,Kenneth Rhein,Rhein,Kenneth,IF,Seattle University,SEA,4504,Seattle,BBC,R,R,2,38,8,4,1.000,1.000,1.750,2.750,.750,0.0%,50.0%,0.00,0.0%,1.00,-,1.000,0.0%,.929,100.0%
1,1952034881,D. Chacon,Dominic Chacon,Chacon,Dominic,OF,Grand Canyon University,GC,5310,Grand Canyon,BBC,R,R,1,15,4,2,1.000,1.000,1.500,2.500,.500,0.0%,25.0%,0.00,0.0%,3.00,-,1.000,0.0%,.891,0.0%
3,1100075008,A. Fernandes,Alex Fernandes,Fernandes,Alex,RF,San Jose State University,SJSU,730206720,San Jose State,BBC,L,R,2,31,10,7,.857,.800,.857,1.657,.000,10.0%,10.0%,1.00,0.0%,1.00,-,.857,14.3%,.674,-
3,1238288640,C. Sanchez,Cade Sanchez,Sanchez,Cade,2B,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,R,R,2,26,10,7,.857,.900,1.286,2.186,.429,10.0%,10.0%,1.00,0.0%,1.50,-,1.000,0.0%,.857,100.0%
5,1345082648,R. Vergara,Roger Vergara,Vergara,Roger,LF,Jacksonville University,JAC,730335488,Jacksonville,BBC,L,R,2,19,10,6,.833,.900,.833,1.733,.000,0.0%,30.0%,0.00,0.0%,1.50,-,.833,16.7%,.725,100.0%
6,1310867457,W. Jordan,Wesley Jordan,Jordan,Wesley,LF,Texas A&M University,TXAM,3032,Texas A&M,BBC,R,R,2,45,11,5,.800,.909,2.200,3.109,1.400,9.1%,45.5%,0.20,18.2%,3.00,2.50,1.000,0.0%,.946,100.0%
6,1310792960,S. Guerra,Sergio Guerra,Guerra,Sergio,C,Tarleton State University,TAR,730236416,Tarleton State,BBC,R,R,2,29,10,5,.800,.900,2.000,2.900,1.200,0.0%,30.0%,0.00,20.0%,2.50,2.50,.667,0.0%,.964,-
6,1167266816,S. Penney,Scott Penney,Penney,Scott,2B,University of Rhode Island,URI,730163712,Rhode Island,BBC,L,R,2,15,8,5,.800,.750,1.000,1.750,.200,0.0%,25.0%,0.00,0.0%,0.50,-,.667,33.3%,.663,-
6,1419930246,D. Mauzy,Davis Mauzy,Mauzy,Davis,LF,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,R,2,43,8,5,.800,.875,1.200,2.075,.400,0.0%,25.0%,0.00,0.0%,2.50,-,.800,20.0%,.800,-
6,1305531530,T. Gambill,Trey Gambill,Gambill,Trey,LF,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,L,R,2,27,9,5,.800,.889,2.000,2.889,1.200,0.0%,44.4%,0.00,22.2%,2.50,2.50,.667,33.3%,.957,100.0%
6,1984968085,J. Lodise,Jordan Lodise,Lodise,Jordan,IF,University of Central Florida,UCF,730256640,Central Florida,BBC,R,R,2,34,10,5,.800,.700,1.400,2.100,.600,0.0%,30.0%,0.00,10.0%,3.00,5.00,.500,50.0%,.678,-
12,1449143146,W. Baker,Will Baker,Baker,Will,2B,Georgia Tech,GT,100,Georgia Tech,BBC,L,R,3,54,14,9,.778,.857,1.111,1.968,.333,7.1%,28.6%,0.25,0.0%,2.00,-,.875,12.5%,.773,-
13,1196066304,S. McCloud,Slade McCloud,McCloud,Slade,2B,Tarleton State University,TAR,730236416,Tarleton State,BBC,L,R,2,30,10,4,.750,.900,2.250,3.150,1.500,0.0%,30.0%,0.00,20.0%,2.00,2.00,.500,0.0%,.946,100.0%
